time,avgResponseTime,level,memory
1625663069,None,1,828.187608557308
1625663075,None,1,871.1403913827039
1625663080,None,1,669.0829481791969
1625663085,None,1,246.86740938445107
1625663090,None,1,491.04987393184575
1625663095,None,1,167.78601643804225
1625663100,None,1,939.662203462857
1625663105,None,1,703.861627647031
1625663110,None,1,597.3030378816488
1625663115,None,1,790.7949721424059
1625663120,None,1,905.0769849882871
1625663125,None,1,585.0636111728711
1625663130,None,1,541.9388511383705
1625663135,None,1,144.41127831875457
1625663140,None,1,715.9929266083292
1625663144,None,1,387.22323509494606
1625663149,None,1,780.3494075534378
1625663153,None,1,839.9542095227364
1625663158,None,1,603.4753586047601
1625663163,None,1,456.3161828394052
1625663168,None,1,272.93776360020104
1625663173,None,1,770.6353680421627
1625663178,None,1,953.7197651885286
1625663183,None,1,331.6293717423292
1625663188,131.93976669113826,1,160.43471137185583
1625663193,399.8558213487602,1,18.438408081636993
1625663198,331.5279204631709,1,829.9343619860201
1625663203,16.712066774937195,1,750.2935718301344
1625663208,234.22980610776744,1,530.7922881585365
1625663213,151.76454787009243,1,812.574303628707
1625663219,252.17396310246775,1,943.3583915810788
1625663224,114.98263620954752,1,598.6705974249663
1625663229,844.2736009275626,1,553.56308315633
1625663234,986.6889365875054,1,838.1269297412814
1625663239,267.96247993064617,1,881.0639812258225
1625663244,577.6888553666414,1,191.72911543975957
1625663249,642.6727354145827,1,703.9642860930584
1625663253,25.48153436716982,1,553.8547795532907
1625663258,764.1858167614124,1,735.103189543609
1625663263,810.7246886220591,1,137.5197211546376
1625663268,989.0263865859349,1,276.3634501962311
1625663273,282.6334642622316,1,819.7165658990369
1625663278,22.447552015961048,1,145.72623150614538
1625663283,598.2823959421003,1,701.0863627076947
1625663288,851.059856806882,1,895.7132555003711
1625663294,981.6976519036108,1,57.53984149607938
1625663299,511.2036102022949,1,170.81060617960287
1625663304,582.6553107301538,1,20.62779221565303
1625663421,None,1,50.25340867625283
1625663426,None,1,865.5848082156293
1625663431,None,1,639.4304096530441
1625663436,70.88636509322089,1,810.3064576310492
1625663441,460.4836367576315,1,0.9066769162698884
1625663446,895.9707269684766,1,958.5312325923238
1625663451,422.57509162114826,1,750.726655702661
1625663456,82.72810321487168,1,760.2036394554688
1625663461,443.7329353693915,1,974.8432818939784
1625663466,968.217325341747,1,561.6359474160563
1625663471,861.2040072110515,1,488.99702102775547
1625663476,585.0165395313243,1,532.7556644709231
1625663481,508.28451625800375,1,662.0967424171079
1625663486,748.2569105643171,1,420.53266805134524
1625663490,805.2506284789457,1,852.0873173186046
1625663495,766.4035804969739,1,172.98719464715683
1625663500,981.0809182327534,1,284.0538804097924
1625663506,306.2466930844633,1,218.32717805321678
1625663511,608.542414496605,1,691.1011545724139
1625663516,465.54852226837875,1,132.46623935258904
1625663521,386.37538576648757,1,334.08098943205766
1625663526,957.4738965744785,1,31.72451004356047
1625663531,167.98944566525452,1,476.8787361563334
1625663536,341.84957278417085,1,622.824051385513
1625663541,632.8774102227493,1,895.6807704903997
1625663546,692.6169565376712,1,906.9004176927929
1625663551,757.0886403643907,1,185.03734772894487
1625663556,852.3516082841728,1,936.3247861897445
1625663561,660.4328005182283,1,147.82994105483493
1625663566,267.83589455335687,1,271.4563712491757
1625663571,304.08578373386194,1,343.3054185486462
1625663576,240.4271023553587,1,278.4368876300165
1625663582,462.04048252900066,1,355.6233232509585
1625663586,567.0268205353237,1,688.8359336764642
1625663591,988.1160280466814,1,738.9831044153959
1625663596,938.1159583143408,1,838.0232423481038
1625663601,507.35957340420026,1,114.07775870475012
1625663606,935.4903523467258,1,282.87015252187695
1625663611,652.6216025467181,1,19.714539576276668
1625663616,11.549787790663956,1,532.6799271905455
1625663621,985.4616633871394,1,863.92467009397
1625663626,802.4267001385497,1,12.658000943325032
1625663631,942.5709287660067,1,437.35787599184425
1625663636,537.6741338382408,1,109.91886728306433
1625663642,957.4352002032895,1,730.4474866141857
1625663647,59.08528007437175,1,861.7773040631538
1625663652,260.4807796597665,1,282.59110327530226
1625663657,90.52236339540475,1,59.302442398053714
1625663661,463.5501727605504,1,549.8963579570863
1625663666,340.0600200610505,1,920.8604740669498
1625663671,605.9688817176583,1,136.99325908959136
