time,cpu_usage,latency,level,memory,response_time
1622634333,6.59712230215827,80.62,1,18.7913669064748,278
1622634338,13.4444444444444,65.25,1,20.3333333333333,225
1622634343,16.4626865671642,38.86,1,27.3880597014925,134
1622634348,5.81679389312977,75.98,1,18.4503816793893,262
1622634353,11.6206896551724,33.64,1,31.8620689655172,116
1622634358,12.4935064935065,44.66,1,25.4805194805195,154
1622634363,5.710027100271,107.01,1,9.13008130081301,369
1622634368,15.5359477124183,44.37,1,20.6078431372549,153
1622634373,6.13223140495868,70.18,1,15.396694214876,242
1622634378,12.0816326530612,71.05,1,22.2448979591837,245
1622634383,12.7313432835821,77.72,1,21.1940298507463,268
1622634388,12.5248868778281,64.09,1,21.5746606334842,221
1622634393,4.80112044817927,103.53,1,14.4033613445378,357
1622634398,9.80769230769231,60.32,1,21.4230769230769,208
1622634403,15.6818181818182,51.04,1,23.0454545454545,176
1622634408,10.9009900990099,29.29,1,31.7029702970297,101
1622634413,8.71140939597315,43.21,1,28.1342281879195,149
1622634418,4.63636363636364,79.75,1,16.9090909090909,275
1622634423,6.06748466257669,94.54,1,15.2024539877301,326
1622634428,16.4935064935065,44.66,1,22.4805194805195,154
1622634433,13.4444444444444,65.25,1,17.3333333333333,225
1622634438,9.3859649122807,66.12,1,22.1578947368421,228
1622634443,16.1728395061728,46.98,1,26.5185185185185,162
1622634448,18,36.25,1,27,125
1622634453,12.0645161290323,35.96,1,28.1935483870968,124
1622634458,11.7777777777778,104.4,1,16.3333333333333,360
1622634463,11.5757575757576,38.28,1,24.7272727272727,132
1622634468,13.257328990228,89.03,1,14.771986970684,307
1622634473,15.4516129032258,44.95,1,20.3548387096774,155
1622634478,12.921568627451,73.95,1,15.7647058823529,255
1622634483,12.6231884057971,80.04,1,20.8695652173913,276
1622634488,14.8965517241379,42.05,1,24.6896551724138,145
1622634493,12.8309178743961,60.03,1,20.4927536231884,207
1622634498,6.79329608938548,103.82,1,12.3798882681564,358
1622634503,12.4052863436123,65.83,1,23.215859030837,227
1622634508,8.40528634361234,65.83,1,23.215859030837,227
1622634513,9.51256281407035,115.42,1,15.5376884422111,398
1622634518,8.8169014084507,102.95,1,13.4507042253521,355
1622634523,5.52112676056338,82.36,1,12.5633802816901,284
1622634528,9.52112676056338,82.36,1,18.5633802816901,284
1622634533,12.6525198938992,109.33,1,9.95755968169761,377
1622634538,13.0983606557377,70.76,1,22.2950819672131,244
1622634543,5.40136054421769,85.26,1,18.2040816326531,294
1622634548,4.19488817891374,90.77,1,17.5846645367412,313
1622634553,11.6041666666667,111.36,1,17.8125,384
1622634558,8.3859649122807,66.12,1,21.1578947368421,228
1622634563,11.5773195876289,112.52,1,9.7319587628866,388
1622634569,17.5187969924812,38.57,1,26.5563909774436,133
1622634574,7.40540540540541,53.65,1,20.2162162162162,185
1622634579,7.47222222222222,83.52,1,16.4166666666667,288
1622634584,13.2083333333333,55.68,1,20.625,192
1622634589,7.69541778975741,107.59,1,13.0862533692722,371
